event_id,session_id,user_id,product_id,order_id,event_time,event_type
1,1,1,5,,2025-10-23 11:56:23,view_item
2,1,1,5,,2025-10-23 11:59:23,add_to_cart
3,1,1,5,1,2025-10-23 12:06:23,purchase
4,2,1,1,,2025-09-21 07:54:23,view_item
5,2,1,7,,2025-09-21 07:55:23,view_item
6,2,1,2,,2025-09-21 07:57:23,view_item
7,2,1,8,,2025-09-21 07:57:23,view_item
8,3,1,6,,2025-10-10 23:55:23,view_item
9,3,1,3,,2025-10-10 23:58:23,view_item
10,3,1,5,,2025-10-10 23:58:23,view_item
11,3,1,1,,2025-10-10 23:54:23,view_item
12,3,1,5,,2025-10-11 00:01:23,add_to_cart
13,3,1,5,2,2025-10-11 00:11:23,purchase
14,4,2,7,,2025-12-16 14:29:33,view_item
15,4,2,7,,2025-12-16 14:34:33,add_to_cart
16,4,2,7,3,2025-12-16 14:38:33,purchase
17,5,2,1,,2025-10-21 15:26:33,view_item
18,5,2,6,,2025-10-21 15:26:33,view_item
19,5,2,1,,2025-10-21 15:32:33,add_to_cart
20,5,2,1,4,2025-10-21 15:37:33,purchase
21,6,3,16,,2025-02-01 21:45:48,view_item
22,6,3,7,,2025-02-01 21:46:48,view_item
23,6,3,9,,2025-02-01 21:45:48,view_item
24,6,3,15,,2025-02-01 21:45:48,view_item
25,7,3,13,,2025-04-09 12:48:48,view_item
26,7,3,2,,2025-04-09 12:46:48,view_item
27,7,3,10,,2025-04-09 12:45:48,view_item
28,8,3,14,,2025-03-18 13:48:48,view_item
29,8,3,15,,2025-03-18 13:46:48,view_item
30,8,3,8,,2025-03-18 13:46:48,view_item
31,8,3,7,,2025-03-18 13:48:48,view_item
32,8,3,7,,2025-03-18 13:52:48,add_to_cart
33,8,3,7,5,2025-03-18 13:59:48,purchase
34,9,3,2,,2025-02-12 14:46:48,view_item
35,9,3,9,,2025-02-12 14:48:48,view_item
36,10,3,13,,2025-03-02 17:45:48,view_item
37,10,3,1,,2025-03-02 17:46:48,view_item
38,10,3,2,,2025-03-02 17:47:48,view_item
39,11,3,8,,2025-03-24 11:46:48,view_item
40,11,3,2,,2025-03-24 11:46:48,view_item
41,11,3,4,,2025-03-24 11:45:48,view_item
42,12,4,1,,2025-09-17 06:13:59,view_item
43,13,4,7,,2025-09-16 07:13:59,view_item
44,13,4,8,,2025-09-16 07:12:59,view_item
45,13,4,10,,2025-09-16 07:15:59,view_item
46,13,4,8,,2025-09-16 07:20:59,add_to_cart
47,13,4,8,6,2025-09-16 07:25:59,purchase
48,14,4,14,,2025-09-23 02:12:59,view_item
49,14,4,6,,2025-09-23 02:12:59,view_item
50,14,4,16,,2025-09-23 02:11:59,view_item
51,14,4,15,,2025-09-23 02:14:59,view_item
52,15,4,14,,2025-08-13 04:14:59,view_item
53,15,4,2,,2025-08-13 04:12:59,view_item
54,15,4,15,,2025-08-13 04:15:59,view_item
55,15,4,2,,2025-08-13 04:17:59,add_to_cart
56,16,5,1,,2026-01-01 10:31:19,view_item
57,16,5,11,,2026-01-01 10:27:19,view_item
58,16,5,13,,2026-01-01 10:30:19,view_item
59,16,5,11,,2026-01-01 10:32:19,add_to_cart
60,17,6,11,,2025-05-05 16:53:10,view_item
