session_id,user_id,session_started_at,session_ended_at,traffic_source,device_type,country,city
1,1,2025-10-23 11:53:23,2025-10-23 12:12:23,direct,mobile,Russia,Saint Petersburg
2,1,2025-09-21 07:53:23,2025-09-21 08:16:23,vk,mobile,Russia,Saint Petersburg
3,1,2025-10-10 23:53:23,2025-10-10 23:59:23,telegram,mobile,Russia,Saint Petersburg
4,2,2025-12-16 14:24:33,2025-12-16 14:58:33,telegram,tablet,Russia,Almaty
5,2,2025-10-21 15:24:33,2025-10-21 16:02:33,yandex,tablet,Russia,Almaty
6,3,2025-02-01 21:43:48,2025-02-01 21:51:48,email,tablet,Russia,Moscow
7,3,2025-04-09 12:43:48,2025-04-09 12:52:48,yandex,tablet,Russia,Moscow
8,3,2025-03-18 13:43:48,2025-03-18 13:47:48,google,tablet,Russia,Moscow
9,3,2025-02-12 14:43:48,2025-02-12 15:15:48,telegram,tablet,Russia,Moscow
10,3,2025-03-02 17:43:48,2025-03-02 17:56:48,google,tablet,Russia,Moscow
11,3,2025-03-24 11:43:48,2025-03-24 12:26:48,vk,tablet,Russia,Moscow
12,4,2025-09-17 06:10:59,2025-09-17 06:38:59,direct,mobile,Russia,Almaty
13,4,2025-09-16 07:10:59,2025-09-16 07:16:59,email,mobile,Russia,Almaty
14,4,2025-09-23 02:10:59,2025-09-23 02:44:59,direct,mobile,Russia,Almaty
15,4,2025-08-13 04:10:59,2025-08-13 04:26:59,email,mobile,Russia,Almaty
16,5,2026-01-01 10:26:19,2026-01-01 10:57:19,telegram,desktop,Russia,Moscow
17,6,2025-05-05 16:52:10,2025-05-05 17:29:10,vk,desktop,Kazakhstan,Saint Petersburg
18,6,2025-03-27 01:52:10,2025-03-27 02:06:10,telegram,desktop,Kazakhstan,Saint Petersburg
19,6,2025-06-05 23:52:10,2025-06-06 00:33:10,yandex,desktop,Kazakhstan,Saint Petersburg
20,6,2025-05-24 01:52:10,2025-05-24 02:31:10,vk,desktop,Kazakhstan,Saint Petersburg
21,6,2025-04-20 13:52:10,2025-04-20 14:28:10,yandex,desktop,Kazakhstan,Saint Petersburg
